Y,K,L
38381.61285,2032166.649,46.81046187
16601.86338,2604937.856,5.38997348
16418.28954,5099122.002,2.726684474
31288.27285,10178425.03,21.64307822
228676.1052,31474709.5,35.3579872
29008.46563,5722287.019,2.570328811
38188.84265,3400547.018,16.73420922
75311.51325,14260025.14,6.087908854
2423516.503,436495474.1,48.3352754
682541.7623,177023787.2,15.56352109
81761.24773,3159436.906,47.9977495
461779.0034,73804826.31,10.94114287
754399.9657,133000406.9,187.2871124
52708.22275,8289156.579,5.052009334
677856.5777,187117823.6,40.97935775
607966.044,94552975.64,139.7876611
30615.58417,3346674.915,9.642106864
1971260.06,32573499.17,151.7499879
677748.6629,116550184.1,37.69895695
51474.52854,5350058.536,9.310950387
645778.6074,107482682.8,105.5699321
29706.20077,990645.6941,17.45926447
198382.4888,748289.362,44.85032209
55114.05707,3600179.705,18.92807908
141242.7069,35091083.56,7.256548106
27396.71675,1671607.381,11.25881441
149523.779,14113230.55,11.68112999
1539621.618,276663622.3,39.12904088
5564.139869,114930.6893,1.782879325
114327.7155,10959228.37,14.25372678
24343.90152,2883049.267,7.727857164
584581.6658,124457372.5,174.6886457
92461.98372,13659276.24,3.209738647
105896.0417,41472823.82,12.87365481
1579313.743,141202272.2,145.8337668
509992.8684,47555333.05,51.32173377
85984.36956,8039897.245,70.24511144
79593.52609,7420831.199,45.01440348
137350.9323,22222474.31,11.99904168
41994388.26,6045327344,848.8892383
961311.2258,206409074.5,30.22260826
242442.0969,3020329.434,188.4138267
1200896.264,227637784.6,72.25957745
97793.06036,13431681.46,15.32872855
18674.38669,2910209.556,21.45330408
64733.94167,12732247.35,11.26048221
2129603.81,462680056.2,95.93719387
2714069.174,543448432.9,61.3483232
1437493.216,293330528.4,29.9496192
12618.67804,673767.4789,17.72476504
1822184.78,417535158.3,39.22637177
27893.14593,5794552.879,10.22229429
517610.4734,44327434.64,324.6726212
338547.1594,40574489.35,46.4405238
61664.39553,8922929.858,0.853154086
6179.74205,914635.5046,0.365310056
160632.339,22096563.19,17.5102693
6260660.503,1120654290,381.1740175
39314.18731,9685484.861,1.027164777
111994.2188,996247.165,0.529552181
14838.02099,3904252.013,2.410086795
20258.4022,1897496.67,9.579843251
4893077.032,718759642.9,100.8275883
1675552.764,465559522.5,31.49656247
386953.0838,101296978.2,32.93228149
4833049.206,1046090261,4551.880246
108458.7933,11506164.79,26.24172811
120944.0699,14177650.4,29.39859118
21926.29308,3816780.825,5.672330391
850693.405,141756790.7,78.78009019
147853.7802,17238829.49,6.772579624
615483.6945,15036203.64,30.7060422
28946.16698,13684827.91,2.667675529
953919.4311,182103177.5,24.85999775
656037.3771,166433054,38.85847196
322022.0586,85767661.65,22.08628247
470376.4239,79166972.4,98.46720195
5307538.693,1044149318,137.090208
782684.7556,200107120.4,23.01725937
17541.30747,3498233.694,1.814042292
9821386.581,1925551106,227.8850549
98148.89186,15755604.78,2.98197395
9922160.757,1449690822,258.9300001
87599.34832,39859099.64,41.01470011
5312.596743,282464.6168,2.56469144
1379686.3,342558095,32.73196305
285981.613,38925006.65,19.58314031
20160.19505,4348187.258,2.318512427
386991.5094,89981513.34,19.47677444
81720.52283,13040515.29,8.950877175
85737.69866,4386827.334,21.11907018
983808.3354,82106267.53,51.86165145
1673415.955,209901500.9,496.7942652
